id,neighbourhood,latitude,longitude
1,Lower East Side,40.717749,-73.985742
2,Two Bridges,40.711888,-73.992301
3,Tribeca,40.718108,-74.00832
4,Greenwich Village,40.734548,-74.004512
5,Hell's Kitchen,40.762787,-73.993251
6,Upper West Side,40.773843,-73.956189
7,Lincoln Square,40.774486,-73.984754
8,Midtown,40.752892,-73.98667
9,Lenox Hill,40.767431,-73.960664
10,East Village,40.726453,-73.981939
11,Midtown,40.754062,-73.984696
12,Crown Heights,40.67191,-73.939928
