,latitude,longitude,station id,station name,nhood id
468,40.729193,-73.97665500000002,3219,NYCBS Depot - STY,10
469,40.751483,-73.996764,3017,NYCBS Depot - FAR,8
470,40.72923649910006,-73.99086803197861,3263,Cooper Square & E 7 St,10
471,40.646677898897856,-74.01630342006682,3245,Kiosk in a box Motivate,2
472,40.76421007169064,-73.96910458803177,3264,E 61 St & Park Ave,9
473,40.713126,-73.984844,291,Madison St & Montgomery St,1
474,40.7245634290432,-73.9894437789917,3265,E 2 St & 2 Ave,10
475,40.716909780459645,-73.98383796215056,3250,NYCBS Depot - PIT,1
476,40.73827428,-73.98751968,503,E 20 St & Park Ave,10
477,40.684868747593924,-74.02544975280763,3036,8D OPS 01,3
478,40.646678,-74.016263,3040,SSP Tech Workshop,2
479,40.75066386,-74.00176802,489,10 Ave & W 28 St,5
480,40.75018156325681,-74.00218427181244,3258,W 27 St & 10 Ave,5
481,40.77677702,-73.95900970000002,3144,E 81 St & Park Ave,6
482,40.70861098096821,-73.92850399017334,3266,Kiosk in a box Deployment,12
